FileName, CommitSha
Hunting\Sample\PotentialMicrosoftSecurityServicesTampering.json,e10b6d7c5ab8df4c4a37fa6bb6a7d0f5d5a26807
Hunting\Sample\User Grant Access and Grants Other Access.json,71a7d2692ff22385e14c36fbb1d9294346b9dd5f
Hunting\Sample\AlertsWithProcess.json,cad2f39498545ed4a151e8233cc6586499a0ffc0
Parsers\Sample\ProcessEventMicrosoftSysmonCreate.json,d20156a343504f80ca235231ae0bec690d068792
Hunting\Sample\Potential_IIS_CodeInject.json,a258122a8f244bb5e7d163b79d8970048d3caabe
Hunting\Sample\ClientIPwithManyUserAgents.json,aa388e7d89c69e35b7711fb800a0eea6f77fe33c
Workbooks\Sample\Dns_ARM.json,3bee7b5bcdca49897effe904aeebd9deb156c9f7
Detections\Sample\TimeSeriesAnomaly-MultiVendor_NetworkTraffic.json,3a235942f8ab89299546a0b8647201d2a2d09cad
Hunting\Sample\TrackingPrivAccounts.json,b461e6470228341b5f13e456bbbb725cf00f8ac3
Detections\Sample\UserAccessedSuspiciousURLCategories.json,3e173f9efda77eb9278b72d13c6b1fd6d0fa65fc
Detections\Sample\CredentialAddedAfterAdminConsent.json,4c5f24d65a84069ebca22cb53dd234602e300dcb
Hunting\Sample\ADOInternalUpstreamPacakgeFeedAdded.json,8872d130417ae7d8e772f167f8b8cf8cb0a215c0
Hunting\Sample\LoginSpikeWithIncreaseFailureRate.json,8b73e236f83190bb24683023a038dfb93aed6f84
Hunting\Sample\Solorigate-DNS-Pattern.json,b76f467216dc1f8b17204c8d1e606c8362366868
Detections\Sample\NewAgentAddedToPoolbyNewUserorofNewOS.json,68bc4bcbb11c112c4f242b8210326ad348deb1b7
Workbooks\Sample\MITREAttack_ARM.json,d92d72b5a8bcea6ef435448546f06236db0effd0
Workbooks\Sample\QualysVMv2_ARM.json,d777e5c0f35b2bcaa7f93b2c11ef98648629ca57
Detections\Sample\DetectPIMAlertDisablingActivity.json,28c238f4013a926910fdd2988ba7dd8416112213
Hunting\Sample\FirewallRuleChanges_using_netsh.json,b5906689ac4f8b798c561eea83f98ed2186d8fc8
Parsers\Sample\vimNetworkSessionEmpty.json,2f8d0d25448904b8cd2835e38aec43688091923e
Detections\Sample\EmailEntity_SecurityEvent.json,a144ea69dea527c9d36744e6170dd4ea29cc8b25
Hunting\Sample\imProcess_HostExportingMailboxAndRemovingExport.json,881b4ae53e0a1ce0dd903a424abe790211f0aa2e
Detections\Sample\AWS_ChangeToRDSDatabase.json,ce9021e44d46bdd380d33e5610abc7fd5fe75ea1
Detections\Sample\SuspiciousServicePrincipalcreationactivity.json,121508313cbf5bd9d22d7c9d9de9d2f3d9fcc72f
Workbooks\Sample\Fortigate_ARM.json,77123867a6162ca321f7e1cdd6f5005a1b656ac4
Detections\Sample\URLEntity_AuditLogs.json,32f956ec88c312aec172c9a01a3ce41771fab6b7
Detections\Sample\IPEntity_DnsEvents.json,0f22664bd7ce5a681f3e4bca147b8ae0b50569ad
Hunting\Sample\ProcessEntropy.json,8cc0b6e9ab3f5328ac89b3350fa167bb795039ee
Hunting\Sample\FileEntity_VMConnection.json,edc05a3c6bcd713e632ce0631c212a8759142a72
Detections\Sample\IPEntity_AWSCloudTrail.json,780a03ca6cf213df1501c4a59c2acd432431c470
Parsers\Sample\NetworkSessionCiscoASA.json,76e79000c8ee23af2d0a651deb10441effc35e1c
Hunting\Sample\UserGrantedAccess_CreatesResources.json,869abaea53e55a1394463fee1e3bd9969869dfed
Hunting\Sample\AWS_IAM_PolicyChange.json,9a3bbfcbe38d3e173437798eecc7b267c7535d20
Detections\Sample\URLEntity_OfficeActivity.json,af8e4418400a35ef1ac4bfbad9e3a9bf472626db
Workbooks\Sample\SolarWindsPostCompromiseHunting_ARM.json,514df40bd4d1b05ded8e76c8dc1049e07fa07cf0
Hunting\Sample\ProofpointPODHighScoreSuspectValue.json,52af3ed7bb24749487d2faa6b838f5a06e80d716
Parsers\Sample\ASimDnsMicrosoftOMS.json,f224a753c043592e33aeff6a9850c91040f847cb
Hunting\Sample\ExternalUserAddedRemovedInTeams_HuntVersion.json,4712b2e426e4fbde111ccc26e3055edc82cce38e
Detections\Sample\NetworkEndpointCorrelation.json,6af2b5cd6542b9f4747f5c008b5d26d32425d1a0
Detections\Sample\PrivilegedAccountsSigninFailureSpikes.json,b0e7198e8919198a9f61e6c47aad03227024e9dd
Detections\Sample\RareOperations.json,bdfec76a01ac56db642e0f6ea0cea38ddd2a68a7
Hunting\Sample\MultiTeamBot.json,91b2fac5b40d770593121717dd52cb888e4369a7
Detections\Sample\OMI_vulnerability_detection.json,c3718b4f6663ebbfd1eaf7f3a12560df9e8a7483
Hunting\Sample\ADFSDBLocalSqlStatements.json,66391ab280c83c7b09e18cc96949a523147abb0f
Workbooks\Sample\ForcepointNGFW_ARM.json,5a58574a4c9e8d54f5de9caed34da27935b35098
Detections\Sample\DomainEntity_CommonSecurityLog.json,e115061f49a5debd14a24cdd47312c19c0c61d5d
Detections\Sample\CognniMediumRiskFinancialIncidents.json,9eb66928b21af80c81610daf07f28c6caaafa52a
Detections\Sample\URLEntity_Syslog.json,9220a352cdc28b28a2cb7049a61385475e02cfa8
Hunting\Sample\DNS_FullNameAnomalousLookupIncrease.json,5d04dcf2c6b03b6775699a535cb30317539ebbf7
Detections\Sample\RareOfficeOperations.json,451878fec8c619a885e9b2b7ed29403adbffa59b
Workbooks\Sample\SecurityOperationsEfficiency_ARM.json,52a27580389d9949648fca63f2fd0d21129268df
Detections\Sample\ADONewExtensionAdded.json,e8bf62b8279b0e240d60bef612a120f69f541806
Detections\Sample\AzDOHistoricServiceConnectionAdds.json,c2adbe1d61d0b7ba12466f42264f34ce745c6fcc
Detections\Sample\HighUrgencyActionItems.json,68ee3249f31e2c8a223b920db8d72df330e4d930
Hunting\Sample\UserLoginIPAddressTeleportation.json,0f9643915f29eea9600a9d67c517fc1a48961462
Workbooks\Sample\IdentityAndAccess_ARM.json,72032f70c5ab968f0e3cc794e49fd75b40178c29
Parsers\Sample\vimDnsMicrosoftOMS.json,b06786dea7300748e0b2a2469abe40cb1290a8b8
Workbooks\Sample\CiscoUmbrella_ARM.json,f41407e2199408539b16d3ce38d582ebd4291e99
Hunting\Sample\StsRefreshTokenModification.json,c88e097becbf68d55357b8e72f65939fd838f219
Playbooks\CarbonBlack\Playbooks\CarbonBlack-QuarantineDevice\azuredeploy.json,e5169c22f1fe264d0fd57b4edc6983a4b93ee8fc
Detections\Sample\IPEntity_AzureActivity.json,1dddac462df331aa453fe507ed1b5ca80f145db6
Detections\Sample\Two Factor Authentication Disabled.json,4b0c4e58bd31fe049ffc0ef8ff06c79ca1bdd578
Hunting\Sample\RareDomainsInCloudLogs.json,3705aace6c6a32da4349d1e909c878afac8ed634
Detections\Sample\HAFNIUMSuspiciousExchangeRequestPattern.json,7c18b5f9e71db1021916a0dd5f744227021a589b
Detections\Sample\ADOPipelineModifiedbyNewUser.json,ded996dc987949f593d50e38aae9524626b6c931
Parsers\Sample\vimAuthenticationAADServicePrincipalSignInLogs.json,804ceecd5b44ce5978dad361295deb58933b34c2
Playbooks\CarbonBlack\Playbooks\CarbonBlack-TakeDeviceActionFromTeams\azuredeploy.json,b0dd025433f4e719dde75f7e1e7c3b81f0eb043b
Workbooks\Sample\OktaSingleSignOn_ARM.json,7c8eefd2e25608ae30aab94cc73fa2b7caed11e2
Detections\Sample\AWS_ConsoleLogonWithoutMFA.json,6bf7204f3bc0935e4a737e645789f07a792862c6
Workbooks\Sample\PulseConnectSecure_ARM.json,96f58daae0c65d5757cdadf2e2aa3ef354ca304a
Parsers\Sample\vimAuthenticationM365Defender.json,8cefee22c630d26c80e3d4ad6608c3d755b80b3e
Detections\Sample\imFileESolarWindsSunburstSupernova.json,2fc21b34d70f6ca62dbb252859dcb0e23f730a39
Hunting\Sample\imProcess_powershell_downloads.json,5fd847d7cd0ed91a1bdc2c4088fec69e73f079df
Detections\Sample\MailItemsAccessedTimeSeries.json,be2a78d8914157142d3a0b19de5b15aa2aee3e17
Parsers\Sample\vimDnsCiscoUmbrella.json,4c603be97e7b7186dd319ec388a003e06db770e0
Detections\Sample\DomainEntity_DnsEvents.json,ee2a31065d3af092cfff7e776faf22f2acb4f882
Detections\Sample\SigninFirewallCorrelation.json,e22b20b2d7f6cccaa22e14c6944bf445857a2ce5
Hunting\Sample\Anomalous Code Execution.json,923345f25a5f6b69f0bef7e74870d0ef2ea1246d
Hunting\Sample\Public project created.json,0f8091563765620f9ae3d3cf2328308af3cbac1b
Detections\Sample\MailPermissionsAddedToApplication.json,66325f06da2bcd257c779cdef2c17214b18b4100
Workbooks\Sample\CyberpionOverviewWorkbook_ARM.json,47d923810888fa37939335bfc0939996429510b3
Workbooks\Sample\EventAnalyzer_ARM.json,7c5393eeb232ad9779d210c96d0f0c44e4067136
Workbooks\Sample\UnifiSG_ARM.json,1c27f09639ee9276a508fc90cc87ebb612a5b2b2
Detections\Sample\ExternalUserAccess.json,a4f5b9c4644f9162fbe829ebc685eb7cb2b22124
Detections\Sample\SolorigateNamedPipe.json,bc1a508d6774e5ad8351baab8819478c875f50ef
Detections\Sample\Mail_redirect_via_ExO_transport_rule.json,092e2b856623ea2eeff9685f17f72ae27964111a
Hunting\Sample\ADONewPackageFeedCreated.json,69db5db75ecdaefb406be2373b4a9b5dbdfe902d
Hunting\Sample\LogonwithExpiredAccount.json,d639cc743b6030bfd1b4c5f9368b6e047fe39587
Workbooks\Sample\WorkbooksMetadata_ARM.json,f2bde2d62e3d5e038105798eed16948275011361
Detections\Sample\SecurityServiceRegistryACLModification.json,2aa799d362519994a1e5c88451115ca1dfc59521
Detections\Sample\ADORetentionReduced.json,a31efa9f266f225cb339f75153611e019ca25780
Workbooks\Sample\ZeroTrust(TIC3.0)_ARM.json,41fa77224f3ef7f99016f2acd38c3695e261e703
Parsers\Sample\ProcessEventCreate.json,0cb3a25cbd510b4824e8d0f6f37ad4b5850ec5e2
Parsers\Sample\FileEventMicrosoftSysmonFileCreated.json,f9625dd8bd3c1e6a65365086106617d872ac7e01
Hunting\Sample\Anomalous Role Assignment.json,92dc1f8fb518c594b0f8e509ddae0fadf890365d
Hunting\Sample\RareClientFileAccess.json,13065180bf34493d5f762ea1fb472856a4734403
Hunting\Sample\Oauth App Restrictions Disabled.json,2df2def9b9d7296c9afa0f0ea6013649520b7398
Parsers\Sample\vimAuthenticationOktaOSS.json,340e7527668ace4ac7d5d5e0d26f7559637da509
Parsers\Sample\vimDnsCorelightZeek.json,378c4e8fe4602a6ec5e0272117215301c147c0a6
Detections\Sample\UserAgentSearch_log4j.json,8f3e2095270683dbef6c667ade68a3d38186c5cd
Hunting\Sample\UnauthUser_AzurePortal.json,a3b72899a75e125bff5df819623d9ef48af0ec46
Hunting\Sample\HighCPURoom.json,fa16a1a0c007e07fa963a6d144fe7cfcb1916dd6
Detections\Sample\PrivilegedAccountIssues.json,7328146b39750dee143dd91d40945f52e0bf74b3
